,Unnamed: 0,abstract,journal,publisher,authors,title,date,journal_vol,journal_issue,firstpage,doi,abstract_html,fulltext_html,pdf_url,language,keywords,citation_count,editor_name,editor_surname
0,0,"The Journal of Social, Evolutionary, and Cultural Psychology is an online initiative designed to bridge sub-disciplines of psychology in order to gain holistic insights into human behavior, emotion, cognition, and motivation. We believe that the perspectives of social, evolutionary, and cultural psychology each provide unique advantages for psychological investigation. Social psychology emphasizes individual functioning within the local group; cultural psychology emphasizes the role of oneâs social environment and emergent cultural practices; and evolutionary psychology emphasizes the adapted function of particular behaviors at the level of the individual. In this editorial, we introduce the philosophical questions guiding the formation of this new journal. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Sokol, Rosemarie I.; Strout, Sarah L.","Understanding human psychology: The integration of social, evolutionary, and cultural studies.",Jan   2007,1,1,1,10.1037/h0099089,http://psycnet.apa.org/journals/ebs/1/1/1,http://psycnet.apa.org/journals/ebs/1/1/1.html,http://psycnet.apa.org/journals/ebs/1/1/1.pdf,English,social psychology; evolutionary psychology; cultural psychology; human behavior; human mind; interdisciplinary integration; Journal of Social Evolutionary and Cultural Psychology,0,not_found,not_found
1,1,"I propose a new concept of the evolutionary psychological imagination, to replace C. Wright Mills' half-century-old notion of the sociological imagination, as a way to link personal experiences with wider social phenomena. To illustrate, I discuss how one's difficulty in dating might be connected to the current world war, and how the evolutionary psychological imagination sometimes allows us to see things that few others do. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Kanazawa, Satoshi",The evolutionary psychological imagination: Why you can't get a date on a Saturday night and why most suicide bombers are Muslim.,Jan   2007,1,1,7,10.1037/h0099090,http://psycnet.apa.org/journals/ebs/1/1/7,http://psycnet.apa.org/journals/ebs/1/1/7.html,http://psycnet.apa.org/journals/ebs/1/1/7.pdf,English,9/11; Madrid bombings; Terrorism; the Savanna Principle; â&euro;&oelig;War on Terrorâ&euro;? evolutionary psychological imagination; Muslim suicide bombers,1,not_found,not_found
2,2,"Past research on human mating behaviors has operationalized parental investment (PI) in terms of sex differencesâwith females reflecting high parental investment (and resultant long-term mating strategies) and males demonstrating low parental investment (and resultant short-term mating strategies). The present research draws on methods adopted from social psychology to operationalize parental investment in terms of conscious and non-conscious attitudinal indices. In a sample of young heterosexual adults, we examined sex differences in two measures of attitudes toward oneâs ability/willingness to invest in parenting. One measure was a self-report index while the other was based on autonomic nervous system (ANS) responses. No sex difference was obtained regarding self-report responses to PI. However, males showed significantly larger increases in heart rate than females when presented with PI-relevant (compared with PI-neutral) stimuli. The findings are consistent with past research suggesting that males are less prepared to confront issues associated with parenting than are females. Further, the findings suggest that males are somewhat unaware of their own perceived lack of parental preparedness. The incongruity between males' self-reports and their ANS responses is discussed with regard to Error Management Theory (EMT; Haselton  Buss, 2000). We also discuss more generally how this research may serve as a model for using the subjectivist tradition in social psychology to expand our study of objective variables derived from the evolutionary perspective. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Geher, Glenn; Fairweather, Kelly; Mollette, Nilerisha; Ugonabo, Uzoma; Murphy, Jeremy W.; Wood, Nicholas",Sex differences in response to cues of parental investment: An evolutionary social psychological perspective.,May   2007,1,2,18,10.1037/h0099360,http://psycnet.apa.org/journals/ebs/1/2/18,http://psycnet.apa.org/journals/ebs/1/2/18.html,http://psycnet.apa.org/journals/ebs/1/2/18.pdf,English,sex differences; cues; parental investment; evolutionary social psychology; mating behavior,0,not_found,not_found
3,3,"Cultural psychology, and other social sciences (e.g. cultural anthropology, sociology), seek to document cultural variation, yet have difficulty providing strong empirical tests of explanations for that variation. It is argued here that an effective means of testing hypotheses regarding the origin of, and persistence and change in, cultural variation is by simulating cultural transmission in the lab using certain methods from experimental social psychology. Three experimental methods are reviewed: the transmission chain method, the replacement method, and the constant-group method. Although very few studies have explicitly simulated specific cross-cultural patterns, much potential exists for future investigations. This integration of small-scale experimental simulations and large-scale observational or historical data is facilitated by an evolutionary framework for the study of culture, and has a precedent in the biological sciences, where experiments are used to simulate and explain the processes of biological evolution. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Mesoudi, Alex",Using the methods of experimental social psychology to study cultural evolution.,May   2007,1,2,35,10.1037/h0099359,http://psycnet.apa.org/journals/ebs/1/2/35,http://psycnet.apa.org/journals/ebs/1/2/35.html,http://psycnet.apa.org/journals/ebs/1/2/35.pdf,English,experimental social psychology; cultural evolution; hypothesis testing; cultural variations,14,not_found,not_found
4,4,"The issue of socialization for antisocial conduct within a society is often set up in terms of deficit notions, comparing the antisocial conduct with (normative) prosocial behavior and discovering that the former entails the absence of the latter. This view seems to overlook relevant dynamic interplay between personal-cultural organization of human action on the one hand, and collective-cultural valuation of different forms of conduct (e.g., as ""prosocial"" versus ""antisocial""), on the other. When one transcends the conceptual dichotomy between the ""prosocial"" and ""antisocial"" labeled phenomena, it becomes possible to see that under some conditions of collective-cultural semiotic value construction, the application of the ""pro-social"" and ""anti-social"" labels can become flexible in a collective-cultural context. ""Prosocial"" acts may become semiotically transformed into ""antisocial"" ones, and vice versa. Both forms of such transformation can be viewed as relevant for the cultural organization of mind and society. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Valsiner, Jaan",Personal culture and conduct of value.,May   2007,1,2,59,10.1037/h0099358,http://psycnet.apa.org/journals/ebs/1/2/59,http://psycnet.apa.org/journals/ebs/1/2/59.html,http://psycnet.apa.org/journals/ebs/1/2/59.pdf,English,personal culture; conduct of value; antisocial conduct; socialization; prosocial phenomena; semiotic,1,not_found,not_found
5,5,"The concept of 'moral sense' plays an important role in books on philosophy, psychology and popular science written by authors who write in English and who take the English language for granted. For example, in his recent book The God Delusion Richard Dawkins (2006) states that ""we have a moral sense which is built into our brains, like our sexual instinct or our fear of heights"" (p. 214). Yet there is no expression like moral sense in other languages, not even European ones like Spanish or German, let alone non-European ones, like Chinese. Nor was there any moral sense in English before the phrase was invented by so-called ""British moralists""-Shaftesbury, Hutcheson, and Hume. This paper traces the origins of the modern Anglo/English concept of 'moral sense'in the influence of Locke's empiricist philosophy on the eighteenth-century 'British moralists', and through them, on the language of British natural scientists, and especially Darwin's. Thus, the paper argues that when contemporary scientists of the English language like Dawkins, Hauser, and others write about the 'moral sense' and present it as a panhuman characteristic evolved through biological evolution, they are looking at ""human nature"" and âhuman moralityâ? through the prism of the English language. Seeing the phrase moral sense, and the discourse based on it, in a cross-linguistic and historical perspective can help us to stretch our imagination as to different possible conceptions of ""morality"" and to go beyond the culture-bound vision of what Dawkins (2006) calls ""moral sense"" and Hauser (2006), a ""universal sense of right and wrong"". (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Wierzbicka, Anna",'Moral sense',Sep   2007,1,3,66,10.1037/h0099824,http://psycnet.apa.org/journals/ebs/1/3/66,http://psycnet.apa.org/journals/ebs/1/3/66.html,http://psycnet.apa.org/journals/ebs/1/3/66.pdf,English,philosophy; psychology; sciences; language; moral sense; scientists,0,not_found,not_found
6,6,"This study examined how waist-to-hip ratio (WHR) differentially affects males and females in their preference for female images. A WHR of approximately .70 is considered an indicator of health and fertility for females, and previous research indicates that participants perceive images with WHRs closer to .70 as more attractive (Singh, 1993a; Singh  Young, 1994; Streeter  McBurney, 2003). A sex difference has yet to be found in perceptions of attractiveness. Thirty-four male and thirty-four female participants examined a series of slides. Each slide featured two images of a woman in a bathing suit. One of the images showed a woman with a WHR between .70 and .71, while the other image had a WHR of .73 to .74. Previous research has only compared larger incremental differences (e.g., .60 vs. .70 vs. .80). Half of the images were taken from Men's Interest magazines and half from Womenâs Health magazines. The women in both images had comparable reported Body Mass Indexes and were shown from a frontal view, but their faces were not visible. Male participants found the low WHR images significantly more attractive than did female participants. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Rempala, Dan; Garvey, Kilian",Sex differences in the effects of incremental changes in waist-to-hip ratio.,Sep   2007,1,3,86,10.1037/h0099825,http://psycnet.apa.org/journals/ebs/1/3/86,http://psycnet.apa.org/journals/ebs/1/3/86.html,http://psycnet.apa.org/journals/ebs/1/3/86.pdf,English,sex differences; waist to hip ratio; fertility; health; physical attractiveness,0,not_found,not_found
7,7,"This article first discusses the development of concepts then reviews the literature on catharsis. A new theory is proposed to integrate social, psychological, and neurological components. It builds upon a socio-biological model of emotions by John Dewey and G. H. Mead who proposed that the initiation and climax of bodily emotion process are instinctive, and that conscious feeling occurs to the extent that climax is delayed. This article further develops Shibutani's application of the Dewey-Mead model. The climax idea, together with the concept of an optimal distance for experiencing emotions, seems to explain otherwise puzzling phenomena. It also points toward the conditions under which bodily processes such as laughing and crying become cathartic. The new theory shows the relationship between distancing, role-taking, pendulation in somatic therapy, and recent studies of mirror neurons. One implication of the new theory is that in modern societies emotions may be frequently initiated but seldom achieve resolution. Collective repression of emotions may be one the main causes of large-scale violence. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Scheff, Thomas J.",Catharsis and other heresies: A theory of emotion.,Sep   2007,1,3,98,10.1037/h0099826,http://psycnet.apa.org/journals/ebs/1/3/98,http://psycnet.apa.org/journals/ebs/1/3/98.html,http://psycnet.apa.org/journals/ebs/1/3/98.pdf,English,catharsis; heresies; theory of emotion; literature,2,not_found,not_found
8,8,"Reviews the book, Dreaming souls: Sleep, dreams and the evolution of the conscious mind by Owen Flanagan (2000). In his book Dreaming Souls, Owen Flanagan weaves philosophy and science together to create a cohesive package of dream theory. This is hardly surprising as his interdisciplinary work has bridged philosophy, psychology and neurobiology. The meat of Flanagan's argument is sandwiched between the beginning and the end of a moralistic and spiritual philosophical debate. His discussions cover a fair amount of historical work from Plato to Freud. He touches on various contemporary issues such as the functional views of both dreaming and sleep. His focus is on setting up his argument using a philosophical, instead of a scientific, framework. Flanagan puts forth a point and then steps through it with care and logic. He does not test hypothesis but instead tests the logic that underlies existing hypothesis. While he spends much of the book discussing the science behind dreaming and sleep it is hardly informative to a well-read scientific audience. Flanagan's reviews of the adaptive theories of dreams all lean towards a byproduct explanation. Flanagan has put forth a good start on the adaptive functionality of sleep. More research needs to be done before we can entertain either a non- adaptationist or an adaptationist account of the evolution of dreaming. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",PULL_ERROR,NorthEastern Evolutionary Psychology Society,"West, Rhiannon J. D.",Waking sleep: The struggle of science and dreaming.,Sep   2007,1,3,114,10.1037/h0099827,http://psycnet.apa.org/journals/ebs/1/3/114,http://psycnet.apa.org/journals/ebs/1/3/114.html,http://psycnet.apa.org/journals/ebs/1/3/114.pdf,English,sciences; dreaming; philosophies; sleep; rapid eye movement,0,not_found,not_found
9,9,"Evolutionary Life History Theory (LHT) is a powerful framework that can be used for understanding behavioral strategies as functional adaptations to environmental conditions. Some evolutionary theorists have described how developmental environments can shape behavioral strategies. Theorists and previous research suggest that individuals developing in relatively less certain environments will exhibit riskier, present oriented, behavioral strategies because of the low probability of reproductive success for more cautious approaches. An evolutionary psychology approach to LHT includes the identification of psychological processes that regulate behavioral strategies as a result of developmental experiences. This paper proposes that time perspective is one psychological mechanism that may underlie functional developmental adaptation. A survey study of urban middle school students (N = 607) assessed the relationship between perceptions of local social conditions, time perspective, and risky behaviors. Structural equation model analyses indicated that present and future orientations completely mediated the relationship of positive and negative aspects of students' neighborhood social environment with reports of interpersonal aggression and illicit resource exploitation. This model had a better fit to the data than competing models depicting time perspective as a byproduct of either phenotypic strategy or social-environmental experiences. (PsycINFO Database Record (c) 2014 APA, all rights reserved)","Journal of Social, Evolutionary, and Cultural Psychology",NorthEastern Evolutionary Psychology Society,"Kruger, Daniel J.; Reischl, Thomas; Zimmerman, Marc A.",Time perspective as a mechanism for functional developmental adaptation.,Jan   2008,2,1,1,10.1037/h0099336,http://psycnet.apa.org/journals/ebs/2/1/1,http://psycnet.apa.org/journals/ebs/2/1/1.html,http://psycnet.apa.org/journals/ebs/2/1/1.pdf,English,time perspective; functional development; adaptation; perceptions; social conditions; risk behavior; Evolutionary Life History Theory,12,not_found,not_found
